IDCIUDAD,NOMBRE
11001,Bogotá D.C.
76111,Guadalajara de Buga
5001,Medellín
5360,Itagüí
13001,Cartagena de Indias
41001,Neiva
76520,Palmira
50001,Villavicencio
5615,Rionegro
76001,Cali
66170,Dosquebradas
54001,Cúcuta
17001,Manizales
25769,Subachoque
25754,Soacha
8001,Barranquilla
68276,Floridablanca
63001,Armenia
66001,Pereira
25126,Cajicá
73001,Ibagué
68001,Bucaramanga
19001,Popayán
17877,Viterbo
25035,Anapoima
5380,La Estrella
5266,Envigado
47001,Santa Marta
25175,Chía
25430,Madrid
54874,Villa del Rosario
76147,Cartago
76892,Yumbo
5318,Guarne
5088,Bello
63130,Calarcá
20001,Valledupar
17380,La Dorada
17174,Chinchiná
88001,San Andrés
85001,Yopal
5321,Guatapé
25214,Cota
5631,Sabaneta
17873,Villamaría
76828,Trujillo
25513,Pacho
5607,Retiro
5045,Apartadó
5120,Cáceres
52356,Ipiales
54405,Los Patios
25473,Mosquera
76400,La Unión
25290,Fusagasugá
25377,La Calera
25875,Villeta
41524,Palermo
76670,San Pedro
76126,Calima
25286,Funza
76834,Tuluá
8758,Soledad
76250,El Dovio
15686,Santana
5284,Frontino
15001,Tunja
25817,Tocancipá
8573,Puerto Colombia
23660,Sahagún
52001,Pasto
8558,Polonuevo
25873,Villapinzón
5467,Montebello
63470,Montenegro
5686,Santa Rosa de Osos
13836,Turbaco
70001,Sincelejo
5376,La Ceja
5652,San Francisco
23001,Montería
15500,Oicatá
13052,Arjona
25758,Sopó
47189,Ciénaga
52835,San Andrés de Tumaco
44001,Riohacha
25899,Zipaquirá
54553,Puerto Santander
15816,Togüí
52227,Cumbal
76845,Ulloa
19698,Santander de Quilichao
63272,Filandia
63190,Circasia
17042,Anserma
5237,Donmatías
5129,Caldas
25181,Choachí
5197,Cocorná
76318,Guacarí
25799,Tenjo
76109,Buenaventura
50006,Acacías
68081,Barrancabermeja
25662,San Juan de Rioseco
5038,Angostura
19300,Guachené
8560,Ponedera
8685,Santo Tomás
8296,Galapa
23189,Ciénaga de Oro
66682,Santa Rosa de Cabal
63401,La Tebaida
19455,Miranda
76364,Jamundí
5212,Copacabana
15798,Tenza
76306,Ginebra
76036,Andalucía
15299,Garagoa
15696,Santa Sofía
25269,Facatativá
52210,Contadero
52399,La Unión
52233,Cumbitara
54498,Ocaña
68190,Cimitarra
68207,Concepción
68229,Curití
73268,Espinal
15757,Socha
19807,Timbío
20750,San Diego
76113,Bugalagrande
25843,Villa de de Ubaté
5697,El Santuario
76275,Florida
25200,Cogua
15759,Sogamoso
23162,Cereté
23807,Tierralta
25772,Suesca
41013,Agrado
41306,Gigante
41551,Pitalito
27001,Quibdó
76130,Candelaria
76248,El Cerrito
76890,Yotoco
47980,Zona Bananera
8078,Baranoa
8433,Malambo
5665,San Pedro de Urabá
73449,Melgar
13620,San Cristóbal
5034,Andes
20770,San Martín
66400,La Virginia
5313,Granada
5756,Sonsón
52838,Túquerres
19573,Puerto Tejada
47245,El Banco
13074,Barranco de Loba
91001,Leticia
5030,Amagá
18001,Florencia
41006,Acevedo
41807,Timaná
41359,Isnos
41615,Rivera
41298,Garzón
41668,San Agustín
76869,Vijes
15047,Aquitania
41016,Aipe
25245,El Colegio
13140,Calamar
27810,Unión Panamericana
50313,Granada
23417,Lorica
8634,Sabanagrande
25320,Guaduas
25740,Sibaté
68547,Piedecuesta
5079,Barbosa
13683,Santa Rosa
76377,La Cumbre
20060,Bosconia
52224,Cuaspúd
19845,Villa rica
20621,La Paz
20614,Río de Oro
41483,Nátaga
47570,Puebloviejo
20013,Agustín Codazzi
20011,Aguachica
19256,El Tambo
76020,Alcalá
8436,Manatí
54820,Toledo
73319,Guamo
52083,Belén
41518,Paicol
52560,Potosí
50683,San Juan de Arama
85250,Paz de Ariporo
41396,La Plata
19142,Caloto
76233,Dagua
17662,Samaná
44430,Maicao
44035,Albania
44650,San Juan del Cesar
41020,Algeciras
17616,Risaralda
15131,Caldas
15176,Chiquinquirá
8638,Sabanalarga
15223,Cubará
23090,Canalete
15407,Villa de Leyva
15238,Duitama
15646,Samacá
52381,La Florida
52317,Guachucal
41503,Oporapa
52036,Ancuyá
76622,Roldanillo
54125,Cácota
54003,Ábrego
54810,Tibú
17442,Marmato
17444,Marquetalia
20400,La Jagua de Ibirico
20178,Chiriguaná
8520,Palmar de Varela
44098,Distracción
25178,Chipaque
91540,Puerto Nariño
13838,Turbaná
15835,Turmequé
