IDFECHA,NOMBRE,ANUAL,MES,DIA
1,2020-03-02,2020,03,02
2,2020-03-06,2020,03,06
3,2020-03-07,2020,03,07
4,2020-03-09,2020,03,09
5,2020-03-10,2020,03,10
6,2020-03-08,2020,03,08
7,2020-03-12,2020,03,12
8,2020-03-11,2020,03,11
9,2020-03-13,2020,03,13
10,2020-03-15,2020,03,15
11,2020-03-14,2020,03,14
12,2020-03-16,2020,03,16
13,2020-03-17,2020,03,17
14,2020-03-18,2020,03,18
15,2020-03-19,2020,03,19
16,2020-03-20,2020,03,20
17,2020-03-21,2020,03,21
18,2020-03-22,2020,03,22
19,2020-03-23,2020,03,23
20,2020-03-24,2020,03,24
21,2020-03-27,2020,03,27
22,2020-03-25,2020,03,25
23,2020-03-26,2020,03,26
24,2020-03-28,2020,03,28
25,2020-03-30,2020,03,30
26,2020-03-31,2020,03,31
27,2020-03-29,2020,03,29
28,2020-04-01,2020,04,01
29,2020-04-02,2020,04,02
30,2020-04-03,2020,04,03
31,2020-04-04,2020,04,04
32,2020-04-05,2020,04,05
33,2020-04-06,2020,04,06
34,2020-04-08,2020,04,08
35,2020-05-25,2020,05,25
36,2020-07-19,2020,07,19
37,2020-04-07,2020,04,07
38,2020-04-09,2020,04,09
39,2020-06-26,2020,06,26
40,2020-04-10,2020,04,10
41,2020-04-11,2020,04,11
42,2020-04-12,2020,04,12
43,2020-04-13,2020,04,13
44,2020-04-14,2020,04,14
45,2020-04-17,2020,04,17
46,2020-04-23,2020,04,23
47,2020-04-15,2020,04,15
48,2020-04-16,2020,04,16
49,2020-04-18,2020,04,18
50,2020-04-19,2020,04,19
51,2020-04-20,2020,04,20
52,2020-04-21,2020,04,21
53,2020-04-28,2020,04,28
54,2020-04-22,2020,04,22
55,2020-04-29,2020,04,29
56,2020-04-24,2020,04,24
57,2020-05-01,2020,05,01
58,2020-04-25,2020,04,25
59,2020-04-26,2020,04,26
60,2020-04-27,2020,04,27
61,2020-04-30,2020,04,30
62,2020-05-26,2020,05,26
63,2020-05-02,2020,05,02
64,2020-05-04,2020,05,04
65,2020-05-03,2020,05,03
66,2020-05-05,2020,05,05
67,2020-05-06,2020,05,06
68,2020-05-07,2020,05,07
69,2020-05-08,2020,05,08
70,2020-05-09,2020,05,09
71,2020-05-10,2020,05,10
72,2020-05-11,2020,05,11
73,2020-07-16,2020,07,16
74,2020-06-30,2020,06,30
75,2020-06-27,2020,06,27
76,2020-05-12,2020,05,12
77,2020-06-23,2020,06,23
78,2020-05-13,2020,05,13
79,2020-05-18,2020,05,18
80,2020-05-14,2020,05,14
81,2020-05-15,2020,05,15
82,2020-05-16,2020,05,16
83,2020-05-17,2020,05,17
84,2020-05-19,2020,05,19
85,2020-05-20,2020,05,20
86,2020-06-06,2020,06,06
87,2020-06-25,2020,06,25
88,2020-05-21,2020,05,21
89,2020-05-22,2020,05,22
90,2020-07-01,2020,07,01
91,2020-05-31,2020,05,31
92,2020-05-23,2020,05,23
93,2020-05-24,2020,05,24
94,2020-05-28,2020,05,28
95,2020-05-29,2020,05,29
96,2020-05-27,2020,05,27
97,2020-05-30,2020,05,30
98,2020-06-01,2020,06,01
99,2020-06-18,2020,06,18
100,2020-06-03,2020,06,03
101,2020-06-29,2020,06,29
102,2020-06-02,2020,06,02
103,2020-06-14,2020,06,14
104,2020-06-22,2020,06,22
105,2020-06-04,2020,06,04
106,2020-06-28,2020,06,28
107,2020-06-05,2020,06,05
108,2020-06-07,2020,06,07
109,2020-06-08,2020,06,08
110,2020-06-09,2020,06,09
111,2020-06-10,2020,06,10
112,2020-06-19,2020,06,19
113,2020-06-24,2020,06,24
114,2020-06-11,2020,06,11
115,2020-06-12,2020,06,12
116,2020-06-16,2020,06,16
117,2020-06-20,2020,06,20
118,2020-07-03,2020,07,03
119,2020-07-13,2020,07,13
120,2020-07-12,2020,07,12
121,2020-06-13,2020,06,13
122,2020-07-02,2020,07,02
123,2020-06-15,2020,06,15
124,2020-07-26,2020,07,26
125,2020-07-06,2020,07,06
126,2020-06-17,2020,06,17
127,2020-07-14,2020,07,14
128,2020-07-07,2020,07,07
129,2020-06-21,2020,06,21
130,2020-07-04,2020,07,04
131,2020-07-08,2020,07,08
132,2020-07-10,2020,07,10
133,2020-07-05,2020,07,05
134,2020-07-09,2020,07,09
135,2020-07-15,2020,07,15
136,2020-07-29,2020,07,29
137,2020-07-28,2020,07,28
138,2020-07-24,2020,07,24
139,2020-07-27,2020,07,27
140,2020-07-11,2020,07,11
141,2020-07-30,2020,07,30
142,2020-07-17,2020,07,17
143,2020-07-20,2020,07,20
144,2020-07-23,2020,07,23
145,2020-07-18,2020,07,18
146,2020-07-21,2020,07,21
147,2020-07-22,2020,07,22
148,2020-07-31,2020,07,31
149,2020-07-25,2020,07,25
